year,cyclists injured
2012,18.92123287671233
2013,29.379956741167987
2014,26.092628832354862
2015,26.06392694063927
2016,29.630732578916025
2017,27.33575622029634
2018,25.382755842062853
2019,25.77410183509951
2020,
2021,24.712328767123285
2022,
2023,
