YEAR,LATITUDE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,ACCIDENT TYPE
2021,40.81572,-73.925064,1,0,Injured
2021,40.79599,-73.96896,1,1,Fatal
2021,40.721375,-73.7903,1,0,Injured
2021,40.57698,-73.981575,1,0,Injured
2021,40.735313,-73.994125,1,0,Injured
2021,40.73656,-74.0011,1,0,Injured
2021,40.651707,-73.86579,1,0,Injured
2021,40.74788,-73.85731,1,0,Injured
2021,40.753998,-73.94244,1,0,Injured
2021,40.756474,-73.94727,1,0,Injured
2021,40.747894,-73.989174,1,0,Injured
2021,40.634792,-74.032326,1,0,Injured
2021,40.712646,-73.89936,1,0,Injured
2021,40.767532,-73.953255,1,0,Injured
2021,40.753242,-73.96662,1,0,Injured
2021,40.69529,-73.94339,1,0,Injured
2021,40.80083,-73.94422,1,0,Injured
2021,40.721985,-73.98552,1,0,Injured
2021,40.784355,-73.98117,1,0,Injured
2021,40.691227,-73.98214,1,0,Injured
2021,40.62748,-74.00714,1,0,Injured
2021,40.71382,-73.85676,1,0,Injured
2021,40.647064,-74.02263,1,0,Injured
2021,40.604572,-74.091125,1,0,Injured
2021,40.68286,-73.97278,1,0,Injured
2021,40.66401,-73.99771,1,0,Injured
2021,40.650402,-73.89422,1,0,Injured
2021,40.712994,-73.98853,1,0,Injured
2021,40.813374,-73.956276,1,0,Injured
2021,40.67879,-73.913635,1,0,Injured
2021,40.635506,-73.913284,1,0,Injured
2021,40.681446,-73.94644,1,0,Injured
2021,40.767803,-73.95601,1,0,Injured
2021,40.780857,-73.958824,1,0,Injured
2021,40.85432,-73.92826,1,0,Injured
2021,40.73817,-73.97761,1,0,Injured
2021,40.70324,-73.92615,1,0,Injured
2021,40.771065,-73.95965,1,0,Injured
2021,40.78257,-73.94522,1,0,Injured
2021,40.628845,-73.99855,1,0,Injured
2021,40.633904,-73.99329,1,0,Injured
2021,40.752724,-73.996796,1,0,Injured
2021,40.797306,-73.93446,1,0,Injured
2021,40.822445,-73.885666,1,0,Injured
2021,40.730564,-73.99052,1,0,Injured
2021,40.655495,-73.88833,1,0,Injured
2021,40.850822,-73.90147,1,0,Injured
2021,40.73656,-73.98902,1,0,Injured
2021,40.69221,-73.92293,1,0,Injured
2021,40.751114,-73.98499,1,0,Injured
2021,40.76236,-73.994064,1,0,Injured
2021,40.77954,-73.988,1,0,Injured
2021,40.829502,-73.87462,1,0,Injured
2021,40.749866,-73.86273,1,0,Injured
2021,40.749165,-73.98841,1,0,Injured
2021,40.71042,-73.85964,1,0,Injured
2021,40.669228,-73.9556,1,0,Injured
2021,40.724808,-73.91053,1,0,Injured
2021,40.795956,-73.97083,1,0,Injured
2021,40.808292,-73.94883,1,0,Injured
2021,40.791527,-73.84176,1,0,Injured
2021,40.561584,-74.13397,1,0,Injured
2021,40.833942,-73.876205,1,0,Injured
2021,40.71352,-73.814865,1,0,Injured
2021,40.733738,-73.95485,1,0,Injured
